asset_id,year,month,date,ndvi,ndmi,evi,ndvi_p25,ndvi_p75,ndvi_stdDev,data_source
pnsg_reserva_umbria_de_cerro_ventoso,2021,1,2021-01-01,0.6131047091580226,0.6500144517767477,0.5166757895372583,0.5271242341341377,0.7227706456753067,0.14588697563502667,GEE:S2_SR_HARMONIZED
pnsg_reserva_turberas_de_el_reventon,2021,1,2021-01-01,0.4076183457610484,0.2195701919828402,0.23442412973641402,0.3380828469991684,0.47859449707366825,0.11534920772459982,GEE:S2_SR_HARMONIZED
pnsg_vuelo_libre_el_nevero,2021,2,2021-02-01,0.3612091183819679,0.08911095748138995,0.21225401550514106,0.3325468897819519,0.39730626770428246,0.07553970058745337,GEE:S2_SR_HARMONIZED
pnsg_vuelo_libre_la_nevera,2021,2,2021-02-01,0.38154784670228414,0.09629960365722529,0.2536220146096702,0.3442866603533427,0.41904228658977727,0.04982379960590076,GEE:S2_SR_HARMONIZED
pnsg_vuelo_libre_el_espartal,2021,2,2021-02-01,0.40826330315468295,0.07068733773052457,0.3089283549859375,0.3738049864768982,0.4397140443325043,0.054900915000455956,GEE:S2_SR_HARMONIZED
pnsg_escalada_el_chorro,2021,2,2021-02-01,0.3254631860151005,0.09516643819342609,0.2500332086531922,0.24402668226409602,0.39278880136400024,0.1065287932171205,GEE:S2_SR_HARMONIZED
pnsg_escalada_la_barranca_y_maliciosa,2021,2,2021-02-01,0.29437412675061464,0.05562972525004411,0.2256652132431961,0.20900132448342457,0.3771108844331982,0.11663806199928707,GEE:S2_SR_HARMONIZED
pnsg_escalada_la_pedriza,2021,2,2021-02-01,0.4513364466546098,0.11133286979421095,0.24417300258531233,0.29295559734335774,0.597629914052585,0.19623723956331904,GEE:S2_SR_HARMONIZED
pnsg_escalada_maliciosa_porrones,2021,2,2021-02-01,0.23987637373365497,-0.1409918405890706,0.1389946135933878,0.15372686460614204,0.3095248341560364,0.10222779759465409,GEE:S2_SR_HARMONIZED
pnsg_escalada_penalara,2021,2,2021-02-01,0.16964542706625038,0.030756318029699675,0.13610387352278627,0.14031541347503662,0.20831169188022614,0.048327024128417204,GEE:S2_SR_HARMONIZED
pnsg_escalada_puerto_de_navacerrada,2021,2,2021-02-01,0.46297155477730356,0.30837730354807985,0.3167670822964959,0.41597498554466433,0.521460103107815,0.08883816376890571,GEE:S2_SR_HARMONIZED
pnsg_escalada_valsain,2021,2,2021-02-01,0.6161463216389688,0.3735183612921024,0.3393407740486632,0.5643559956640385,0.6816612538803971,0.09296711556263808,GEE:S2_SR_HARMONIZED
