camera_id,camera_name,latitude,longitude,image_url,source_document
camara08308,,40.490001,-3.698732,https://informo.madrid.es/cameras/Camara08308.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara16301,,40.458589,-3.617004,https://informo.madrid.es/cameras/Camara16301.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara20306,,40.441952,-3.623563,https://informo.madrid.es/cameras/Camara20306.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara20307,,40.447630,-3.626276,https://informo.madrid.es/cameras/Camara20307.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara16305,,40.466910,-3.654210,https://informo.madrid.es/cameras/Camara16305.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara16304,,40.468408,-3.646599,https://informo.madrid.es/cameras/Camara16304.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara16327,,40.476524,-3.638369,https://informo.madrid.es/cameras/Camara16327.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara08307,,40.448835,-3.741529,https://informo.madrid.es/cameras/Camara08307.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara08306,,40.468966,-3.750424,https://informo.madrid.es/cameras/Camara08306.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara08305,,40.474515,-3.748179,https://informo.madrid.es/cameras/Camara08305.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara06302,,40.473987,-3.687364,https://informo.madrid.es/cameras/Camara06302.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara04313,,40.429520,-3.679797,https://informo.madrid.es/cameras/Camara04313.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara06307,,40.446473,-3.691234,https://informo.madrid.es/cameras/Camara06307.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara02303,,40.394461,-3.694745,https://informo.madrid.es/cameras/Camara02303.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara02306,,40.395624,-3.680235,https://informo.madrid.es/cameras/Camara02306.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara14302,,40.414374,-3.627562,https://informo.madrid.es/cameras/Camara14302.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara14301,,40.407638,-3.631269,https://informo.madrid.es/cameras/Camara14301.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara16302,,40.454459,-3.622637,https://informo.madrid.es/cameras/Camara16302.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara13303,,40.389142,-3.643885,https://informo.madrid.es/cameras/Camara13303.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara10306,,40.385704,-3.761650,https://informo.madrid.es/cameras/Camara10306.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
camara03304,,40.411577,-3.669797,https://informo.madrid.es/cameras/Camara03304.jpg?v=76738,https://informo.madrid.es/informo/tmadrid/CCTV.kml
